Title,Age,Author,Score,URL
Boeing Starliner launches first crewed mission,10 hours ago,helsinkiandrew,466 ,https://www.bbc.co.uk/news/live/world-us-canada-69094213
Vulkan1.3 on the M1 in one month,10 hours ago,todsacerdoti,573 ,https://rosenzweig.io/blog/vk13-on-the-m1-in-1-month.html
Mathematical Optimization for Cargo Ships,5 hours ago,alphabetting,109 ,https://research.google/blog/heuristics-on-the-high-seas-mathematical-optimization-for-cargo-ships/
For sale replica of the mustang aircraft,3 hours ago,Harmohit,39 ,https://www.scalewings.com/sw-51-mustang/
Show HN: Original 8x16 ASCII Fixed Width Font: Classic Console Neue,4 hours ago,deejayy,42 ,https://webdraft.hu/fonts/classic-console/
DHCPv6-PD – First Steps,3 hours ago,todsacerdoti,31 ,https://sha256.net/dhcpv6-pd-first-steps.html
Jury Finds Boeing Stole Tech from Electric Airplane Startup,5 hours ago,rmason,59 ,https://www.govtech.com/public-safety/jury-finds-boeing-stole-tech-from-electric-airplane-startup
An Overview of the Starlark Language,1 hour ago,thunderbong,12 ,https://laurent.le-brun.eu/blog/an-overview-of-starlark
We improved the performance of a userspace TCP stack in Go,9 hours ago,infomaniac,136 ,https://coder.com/blog/delivering-5x-faster-throughput-in-coder-2-12-0
Show HN: Foosbar – My autonomous foosball-playing robot,10 hours ago,misprit7,209 ,https://github.com/misprit7/foosbar
